NAME_2,Population,Area,Density
Far North,68500,7505,9.127248501
Whangarei,96000,3314,28.96801448
Kaipara,24100,3122,7.719410634
Auckland,1642800,1059,1551.274788
Thames-Coromandel,31500,3193,9.86533041
Hauraki,21000,1186,17.70657673
Waikato,79900,3189,25.05487614
Matamata-Piako,36000,1755,20.51282051
Hamilton,169500,94,1803.191489
Waipa,56200,1473,38.15342838
Otorohanga,10500,2063,5.08967523
South Waikato,25100,1814,13.8368247
Waitomo,9490,3551,2.672486623
Taupo,39300,6955,5.650611071
Western Bay of Plenty,53900,2120,25.4245283
Tauranga,144700,168,861.3095238
Rotorua,75100,2617,28.69698128
Whakatane,37100,4441,8.35397433
Kawerau,7490,22,340.4545455
Opotiki,9720,3098,3.13750807
Gisborne,49300,8351,5.903484613
Wairoa,8680,4125,2.104242424
Hastings,85000,5218,16.28976619
Napier,65000,106,613.2075472
Central Hawke's Bay,14850,3324,4.467509025
New Plymouth,84400,2225,37.93258427
Stratford,9860,2161,4.562702453
South Taranaki,28600,3577,7.995526978
Ruapehu,12750,6730,1.894502229
Whanganui,47300,2372,19.94097808
Rangitikei,15750,4476,3.518766756
Manawatu,31700,2628,12.06240487
Palmerston North,88300,337,262.0178042
Tararua,18650,4367,4.270666361
Horowhenua,35000,1066,32.83302064
Kapiti Coast,56000,733,76.39836289
Porirua,59100,182,324.7252747
Upper Hutt,46000,542,84.87084871
Lower Hutt,108700,377,288.3289125
Wellington,210400,289,728.0276817
Masterton,26800,2298,11.66231506
Carterton,9690,1181,8.204911092
South Wairarapa,11100,2452,4.526916803
Tasman,54800,9786,5.599836501
Nelson,52900,445,118.8764045
Marlborough,49200,12484,3.941044537
Kaikoura,4110,2050,2.004878049
Buller,9840,7950,1.237735849
Grey,13750,3516,3.91069397
Westland,8960,11870,0.754844145
Hurunui,12950,8661,1.495208405
Waimakariri,62800,2216,28.33935018
Christchurch,385500,453,850.9933775
Selwyn,65600,6557,10.00457526
Ashburton,34800,6208,5.605670103
Timaru,47900,2726,17.57153338
Mackenzie,5140,7442,0.69067455
Waimate,8080,3577,2.258876153
Chatham Islands,710,726,0.977961433
Waitaki,23200,7212,3.216860788
Central Otago,23100,9966,2.317880795
Queenstown-Lakes,41700,9368,4.451323655
Dunedin,131700,3340,39.43113772
Clutha,18350,6406,2.864502029
Southland,32100,32605,0.984511578
Gore District,12800,1251,10.23181455
Invercargill,56200,491,114.4602851
